Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8611/077|2020-09-28 03:14:26|г Владимир, проспект Суздальский, дом 6|ПН 08:00-19:00, ВТ-ПТ 08:30-19:00, СБ 08:30-13:30, ВС выходной
8611/083|2021-06-21 15:42:19|г Владимир, проспект Строителей, дом 22|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8611/089|2021-05-12 12:42:08|г Владимир, проспект Строителей, дом 46|ПН 08:00-18:30, ВТ-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной
8611/090|2020-09-28 03:14:26|г Владимир,улица Комиссарова, дом 6|ПН 08:00-18:30, ВТ-ПТ 08:30-18:30, СБ-ВС выходной
8611/095|2021-02-24 17:08:45|Владимирская область,город Радужный, кв-л 3-й, дом 35Б|ПН-ПТ 08:00-17:30, СБ-ВС выходной
8611/096|2020-09-28 03:14:26|г Владимир,улица Растопчина, дом 51Б|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8611/097|2020-09-28 03:14:26|г Владимир,улица Соколова-Соколенка, дом 19Д|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8611/099|2021-03-30 18:30:18|г Владимир, мкр Энергетик,улица Садовая, дом 17|ПН-СР 08:45-18:30, ЧТ выходной, ПТ 08:45-18:30, СБ 09:00-13:15, ВС выходной
8612/01|2020-09-28 03:14:25|г Киров,улица Хлыновская, дом 20|ПН-ПТ 09:00-18:30, СБ-ВС выходной
8612/0104|2020-09-28 03:14:25|г Киров,улица Горького, дом 25|ПН-ПТ 09:00-18:30, СБ выходной, ВС 09:00-14:30
8612/0117|2020-09-28 03:14:25|г Киров,улица Милицейская, дом 49|ПН-ПТ 08:30-18:00, СБ 09:30-14:00, ВС выходной
8612/0118|2021-05-05 09:52:04|г Киров,улица Карла Маркса, дом 62|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8612/0120|2020-09-28 03:14:25|г Киров,улица Лепсе, дом 62|ПН-ПТ 08:30-19:00, СБ 09:00-15:00, ВС выходной
8612/0125|2021-05-05 09:52:04|г Киров, мкр Лянгасово,улица Комсомольская, дом 69|ПН-ПТ 09:00-18:00, СБ-ВС выходной
