Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8625/0170|2021-12-13 14:19:14|г Астрахань,улица Николая Островского, дом 152А|ПН-ПТ 08:30-18:00, СБ 08:30-14:30, ВС выходной
8625/0171|2021-06-21 15:42:06|г Астрахань,улица Жилая, дом 8В литер а|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной
8625/0173|2021-06-21 15:42:06|Астраханская область, с Началово,улица Ленина, дом 41|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8625/0181|2020-09-28 19:18:02|г Астрахань,улица Боевая, дом 71/67|ПН-ВС 09:00-21:00
8625/0191|2021-05-12 12:41:40|Астраханская область,город Нариманов,улица Центральная, влд 19|ПН-ПТ 08:00-17:30, СБ 08:30-13:00, ВС выходной
8625/0192|2020-09-28 19:18:02|г Астрахань,улица Победы, дом 48|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8625/0196|2020-12-24 14:56:45|г Астрахань,улица Савушкина, дом 51|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной
8625/0197|2020-09-28 19:18:02|г Астрахань,улица Софьи Перовской, дом 84|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной
8625/0200|2021-05-12 12:41:40|г Астрахань,улица Дзержинского, дом 59А|ПН-ПТ 08:30-17:30, СБ 08:00-14:00, ВС выходной
8625/0201|2021-05-12 12:41:40|г Астрахань, пер Щекина, дом 10|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8625/0202|2020-09-28 19:18:02|г Астрахань,улица Бабаевского, дом 39|ПН-ПТ 08:30-18:00, СБ 08:00-16:00, ВС выходной
8625/0205|2021-02-24 17:08:34|Астраханская область, с Икряное,улица Ленина, дом 23|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8625/0215|2021-02-24 17:08:34|Астраханская область,рабочий поселок Лиман,улица Электрическая, дом 1|ПН-ЧТ 08:30-16:00, ПТ 08:00-15:30, СБ 08:30-12:15, ВС выходной
8625/0224|2021-12-13 14:19:14|Астраханская область, с Красный Яр,улица Советская, зд 76А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8625/0232|2021-03-30 18:30:21|Астраханская область, Володарский район , п Володарский,площадь Октябрьская, дом 2А|ПН-ПТ 08:00-16:30, СБ 08:00-14:00, ВС выходной
8625/0238|2021-02-24 17:08:52|Астраханская область,город Камызяк,улица Максима Горького, дом 89А|ПН-ПТ 08:00-16:30, СБ 08:00-12:00, ВС выходной
8625/0254|2021-05-12 12:41:40|Астраханская область,город Ахтубинск,улица Щербакова, строение 7|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС выходной
8625/0264|2021-12-13 14:19:14|Астраханская область,город Ахтубинск,улица Гагарина, дом 18А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8625/0269|2021-05-12 12:41:40|Астраханская область,город Знаменск,улица Ленина, дом 46|ПН-ПТ 09:00-18:30, СБ 08:00-14:00, ВС выходной
8625/0271|2021-12-13 14:19:14|Астраханская область,город Знаменск,улица Янгеля, дом 1А|ПН-ПТ 08:00-18:00, СБ 08:00-14:00, ВС выходной
8625/0273|2021-03-03 11:41:50|Астраханская область,город Харабали,улица Интернациональная, дом 2|ПН-ПТ 08:30-17:00, СБ 08:30-13:30, ВС выходной
8625/0281|2021-12-13 14:19:14|Астраханская область, с Енотаевка,улица Мусаева, зд 47|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8625/0292|2021-03-03 11:41:47|Астраханская область, с Черный Яр,улица Победы, дом 16|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8625/03|2021-12-13 14:19:14|г Астрахань,улица Парковая, дом 27|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8625/0301|2020-09-28 19:18:02|г Астрахань,улица Кирова, дом 41|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной
8625/032|2020-09-28 19:18:02|г Астрахань,улица Яблочкова, дом 34|ПН-ПТ 08:30-18:00, СБ 08:30-14:00, ВС выходной
8625/07|2021-06-07 13:59:06|г Астрахань,улица Немова, дом 34А|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8625/09|2021-12-13 14:19:14|г Астрахань,улица Космонавта Комарова, дом 65Г литер а|ПН-ПТ 08:30-18:00, СБ 08:00-14:00, ВС выходной
8617/01|2020-09-28 19:18:00|г Сыктывкар,улица Куратова, дом 53|ПН-ПТ 09:00-17:30, СБ 09:30-15:00, ВС выходной
8617/010|2021-05-05 09:51:51|Республика Коми, с Корткерос,улица Советская, дом 188|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8617/0102|2021-02-24 17:08:43|Республика Коми,город Сосногорск,улица Зои Космодемьянской, дом 2А|ПН-ПТ 08:30-17:00, СБ 09:30-12:30, ВС выходной
8617/0107|2021-05-05 09:51:51|Республика Коми,город Сосногорск, пгт Нижний Одес,улица Школьная, дом 6|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8617/0109|2021-05-05 09:51:51|Республика Коми, пгт Троицко-Печорск,улица Советская, дом 42|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8617/0115|2021-02-24 17:08:40|Республика Коми,город Ухта, проспект Ленина, дом 33|ПН-ПТ 09:00-18:30, СБ 10:00-15:00, ВС выходной
8617/0116|2021-05-12 12:41:40|Республика Коми, с Ижма,улица Советская, дом 51А|ПН-ПТ 09:00-17:30, СБ 10:00-13:30, ВС выходной
8617/0123|2021-05-05 09:51:51|Республика Коми,город Печора,улица Советская, дом 44|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8617/0132|2021-05-05 09:51:51|Республика Коми,город Воркута,улица Московская, дом 15|ПН-ПТ 09:30-17:45, СБ-ВС выходной
8617/0139|2021-05-05 09:51:51|Республика Коми,город Воркута,улица Ленина, дом 31|ПН-ПТ 09:30-18:00, СБ-ВС выходной
8617/0140|2021-05-12 12:41:40|Республика Коми,город Воркута,улица Ленина, дом 60|ПН-ПТ 09:30-17:30, СБ 09:30-14:00, ВС выходной
8617/0153|2021-05-05 09:51:51|Республика Коми,город Инта,улица Куратова, дом 70|ПН-ПТ 09:30-17:45, СБ-ВС выходной
8617/0158|2021-05-05 09:51:51|Республика Коми,город Усинск,улица 60 лет Октября, дом 1|ПН-ПТ 09:30-18:00, СБ-ВС выходной
8617/0162|2021-03-03 11:41:50|Республика Коми,город Усинск,улица Мира, дом 4|ПН выходной, ВТ-СБ 09:30-17:45, ВС выходной
8617/0167|2021-02-24 17:08:40|Республика Коми,город Ухта, проспект Ленина, дом 75|ПН-ПТ 09:00-18:30, СБ 09:00-14:30, ВС выходной
8617/0168|2021-02-24 17:08:45|Республика Коми,город Печора,улица Гагарина, дом 21|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС выходной
8617/0169|2021-02-24 17:08:52|Республика Коми,город Инта,улица Горького, дом 14|ПН-ПТ 09:30-17:30, СБ 10:00-13:30, ВС выходной
8617/0170|2021-03-03 11:41:50|Республика Коми,город Усинск,улица Молодежная, дом 24|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8617/019|2020-09-28 19:18:00|г Сыктывкар,улица Мира, дом 22/1|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8617/02|2020-09-28 19:18:00|г Сыктывкар,улица Коммунистическая, дом 27А|ПН-ПТ 09:00-19:00, СБ 09:30-16:00, ВС 09:30-14:30
8617/020|2020-09-28 19:18:00|г Сыктывкар,улица Морозова, дом 89|ПН-ПТ 09:00-17:00, СБ 09:00-14:00, ВС выходной
8617/024|2020-09-28 19:18:00|г Сыктывкар,улица Весенняя, дом 4|ПН-ПТ 09:30-18:00, СБ-ВС выходной
8617/025|2020-09-28 19:18:00|г Сыктывкар,улица Мира, дом 68|ПН-ПТ 09:30-17:45, СБ-ВС выходной
8617/026|2021-05-05 09:51:51|г Сыктывкар,улица Школьная, дом 2/4|ПН-ПТ 09:30-17:45, СБ-ВС выходной
8617/027|2020-09-28 19:18:00|г Сыктывкар,улица Пушкина, дом 59|ПН-ПТ 09:30-17:45, СБ-ВС выходной
8617/03|2020-09-28 19:18:00|г Сыктывкар,улица Карла Маркса, дом 182|ПН-ПТ 09:00-17:30, СБ 09:00-14:30, ВС выходной
8617/030|2021-05-05 09:51:51|Республика Коми, с Визинга,улица Советская, дом 36|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8617/033|2021-08-17 12:37:07|Республика Коми, с Койгородок,улица Советская, дом 24|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8617/04|2020-09-28 19:18:00|г Сыктывкар,улица Советская, дом 16|ПН-ПТ 09:30-17:45, СБ-ВС выходной
8617/043|2020-09-28 19:18:00|г Сыктывкар,улица Карла Маркса, дом 117|ПН-ВС 09:00-21:00
8617/044|2021-05-05 09:51:51|Республика Коми, с Объячево,улица Мира, дом 68|ПН-ПТ 08:30-16:30, СБ-ВС выходной
8617/049|2021-05-05 09:51:51|Республика Коми, Прилузский район , с Летка,улица Молодежная, дом 15|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8617/053|2021-05-05 09:51:51|Республика Коми, с Айкино,улица Центральная, дом 127|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8617/055|2021-05-05 09:51:50|Республика Коми, Усть-Вымский район ,город Микунь,улица Пионерская, дом 29|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8617/057|2021-05-12 12:41:40|Республика Коми, Усть-Вымский район , пгт Жешарт,улица Гагарина, дом 2|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8617/06|2020-09-28 19:18:00|г Сыктывкар,улица Морозова, дом 149|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8617/062|2021-05-05 09:51:50|Республика Коми, с Кослан,улица Советская, дом 12|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8617/068|2021-05-05 09:51:50|Республика Коми, Усть-Куломский район , с Усть-Кулом,улица Ленина, дом 2|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8617/07|2020-09-28 19:18:00|г Сыктывкар, проспект Октябрьский, дом 180/1|ПН-ПТ 09:00-18:00, СБ 10:00-15:00, ВС выходной
8617/072|2021-05-12 12:41:40|Республика Коми,город Емва,улица Дзержинского, дом 116А|ПН-ПТ 09:00-17:30, СБ 09:00-11:30, ВС выходной
8617/08|2021-03-03 11:41:48|Республика Коми, с Выльгорт,улица Домны Каликовой, дом 72|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8617/080|2021-05-05 09:51:50|Республика Коми, с Усть-Цильма,улица Новый Квартал, дом 1Б|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8617/089|2021-05-05 09:51:50|Республика Коми,город Ухта,улица Косолапкина, дом 10|ПН-ПТ 09:00-17:30, СБ-ВС выходной
